BORO;STREET
Bronx;694 THWAITES PLACE
Brooklyn;1622 RALPH AVENUE
Brooklyn;51 KENT AVENUE
Brooklyn;59 5th AVENUE
Manhattan;219 EAST  116th STREET
Queens;90-40 160th STREET
Manhattan;54 EAST   13rd STREET
Brooklyn;108 DEKALB AVENUE
Queens;4530 BELL BLVD
Brooklyn;8510 4th AVENUE
Manhattan;953 AMSTERDAM AVENUE
Brooklyn;868 BEDFORD AVENUE
Manhattan;299 MADISON AVENUE
Brooklyn;505 FRANKLIN AVENUE
Manhattan;500 WEST   33rd STREET
Manhattan;321 WEST  125th STREET
Brooklyn;118 KANE STREET
Manhattan;1544 MADISON AVENUE
Manhattan;3163 BROADWAY
Bronx;673 HUNTS POINT AVENUE
Queens;40-06 74th STREET
Bronx;3207 WESTCHESTER AVENUE
Bronx;2107 WILLIAMSBRIDGE ROAD
Manhattan;139 CENTRE STREET
Manhattan;557 GRAND STREET
Manhattan;301 WEST  154th STREET
Manhattan;1550 1st AVENUE
Manhattan;51 BAYARD STREET
Manhattan;511 EAST   12nd STREET
Brooklyn;1917 AVENUE U
Manhattan;43 EAST    1st STREET
Queens;96-05 METROPOLITAN AVENUE
Bronx;2 EAST GUN HILL ROAD
Staten Island;538 FOREST AVENUE
Manhattan;38 EAST   58th STREET
Brooklyn;221 NORTH    4th STREET
Bronx;3670 WHITE PLAINS ROAD
Brooklyn;444 7th AVENUE
Staten Island;1190 FOREST AVENUE
Bronx;5704 MOSHOLU AVENUE
Manhattan;160 PEARL STREET
Manhattan;874 AVENUE OF THE AMERICAS
Queens;17233A HILLSIDE AVE
Brooklyn;6725 5th AVENUE
Brooklyn;9002 AVENUE B
Queens;8771 PARSONS BLVD
Manhattan;200 PARK AVENUE
Brooklyn;310 9th STREET
Brooklyn;824 KNICKERBOCKER AVENUE
Brooklyn;5918 8th AVENUE
Queens;3101 NEWTOWN AVE
Manhattan;550 1st AVENUE
Queens;3802 PRINCE ST
Brooklyn;672 FIFTH AVENUE
Brooklyn;6802 4th AVENUE
Brooklyn;508 NOSTRAND AVENUE
Bronx;2701 SEDGWICK AVENUE
Manhattan;16 1st AVENUE
Brooklyn;2100 FLATBUSH AVENUE
Brooklyn;1250 NOSTRAND AVENUE
Brooklyn;253 BUSHWICK AVENUE
Bronx;2066 WALLACE AVENUE
Manhattan;441 AMSTERDAM AVENUE
Queens;4917 69TH ST
Manhattan;133 WEST   33rd STREET
Brooklyn;508 HENRY STREET
Brooklyn;342 WYTHE AVENUE
Manhattan;15 CLIFF STREET
Bronx;12 EAST GUN HILL ROAD
Queens;42-35 MAIN STREET
Queens;42-02 NORTHERN BOULEVARD
Staten Island;104 VICTORY BOULEVARD
Queens;3766 74th STREET
Queens;45-19 28th AVENUE
Bronx;250 BEDFORD PARK BLVD WEST
Queens;66-21 FRESH POND ROAD
Manhattan;24 HARRISON STREET
Brooklyn;148 5th AVENUE
Manhattan;135 WEST   41st STREET
Manhattan;764 9th AVENUE
Brooklyn;854 4th AVENUE
Queens;64-01 BROADWAY
Bronx;3555 JOHNSON AVENUE
Brooklyn;6220 AVENUE U
Brooklyn;450 DEAN STREET
Queens;112-15 LINDEN BOULEVARD
Manhattan;768 FIFTH AVE
Brooklyn;110 ATLANTIC AVENUE
Manhattan;1475 2nd AVENUE
Brooklyn;1071 BROADWAY
Queens;44-16 QUEENS BOULEVARD
Manhattan;1764 AMSTERDAM AVENUE
Queens;4220 30TH AVE
Bronx;249 EAST TREMONT AVENUE
Staten Island;1547 ARTHUR KILL ROAD
Brooklyn;258 DEKALB AVENUE
Brooklyn;1772 ROCKAWAY PARKWAY
Queens;4016A 150TH ST
Manhattan;64 EAST   97th STREET
Brooklyn;5827 AVENUE T
Bronx;613 EAST TREMONT AVENUE
Manhattan;3898 BROADWAY
Bronx;240 EAST  198th STREET
Queens;64-01 108th STREET
Manhattan;3335 CATHERINE STREET
Brooklyn;523 EVERGREEN AVENUE
Bronx;74 EAST  167th STREET
Staten Island;1810 VICTORY BOULEVARD
Queens;7516 BROADWAY
Manhattan;108 EAST    4th STREET
Manhattan;119 1st AVENUE
Bronx;381 EAST  138th STREET
Brooklyn;5419 CHURCH AVENUE
Queens;3206 43RD ST
Brooklyn;63 FLUSHING AVENUE
Queens;79-22 PARSONS BOULEVARD
Queens;000 126th TH ST & ROOSEVELT AVENUE
Brooklyn;530D CONDUIT BOULEVARD
Bronx;2487 JEROME AVENUE
Manhattan;112 WEST  116th STREET
Bronx;366A EAST  204th STREET
Queens;205-20 JAMAICA AVENUE
Manhattan;75 9th AVENUE
Brooklyn;6316 BAY PARKWAY
Bronx;2873 WEBSTER AVENUE
Queens;39-40 BELL BOULEVARD
Brooklyn;714 KNICKERBOCKER AVENUE
Bronx;1064 FRANKLIN AVENUE
Brooklyn;66 6th AVENUE
Brooklyn;134 SMITH STREET
Manhattan;1280 5th AVENUE
Brooklyn;1339 ST JOHNS PLACE
Manhattan;1468 MADISON AVENUE
Queens;6010 KISSENA BOULEVARD
Manhattan;325 WEST   33rd STREET
Queens;4704 108TH ST
Queens;4320 GREENPOINT AVE
Manhattan;154 WEST   72nd STREET
Bronx;1282 SOUTHERN BOULEVARD
Staten Island;127 MORNINGSTAR ROAD
Queens;989 WYCKOFF AVENUE
Queens;10307 QUEENS BLVD
Brooklyn;5322 7th AVENUE
Bronx;451455 MORRIS PK AVE
Brooklyn;6918 3rd AVENUE
Manhattan;168 1st AVENUE
Manhattan;20 HUDSON YARDS
Manhattan;55 CHURCH STREET
Queens;10756 SUTPHIN BLVD
Manhattan;200 WATER STREET
Manhattan;844 AMSTERDAM AVENUE
Brooklyn;2707 86th STREET
Bronx;536 EAST  138th STREET
Bronx;772 ALLERTON AVENUE
Brooklyn;612 METROPOLITAN AVENUE
Manhattan;744 9th AVENUE
Manhattan;585 8th AVENUE
Staten Island;24 GIFFORDS LANE
Queens;8418 A NORTHERN BOULEVARD
Manhattan;320 WEST BROADWAY
Queens;3750 74TH ST
Bronx;250 BEDFORD PARK BLVD WEST
Brooklyn;5622 8th AVENUE
Brooklyn;287 AVENUE U
Manhattan;350 7th AVENUE
Manhattan;133 AVENUE C
Brooklyn;3905 5th AVENUE
Queens;32-02 BROADWAY
Brooklyn;335 SMITH STREET
Manhattan;1631 2nd AVENUE
Manhattan;4476 BROADWAY
Queens;11317 SUTPHIN BLVD
Manhattan;302 EAST   49th STREET
Brooklyn;330 5th STREET
Queens;8517 37TH AVE
Queens;40-24 COLLEGE POINT BOULEVARD
Manhattan;679 RIVERSIDE DRIVE
Brooklyn;2851 86th STREET
Brooklyn;862 NEW LOTS AVENUE
Brooklyn;855 4th AVENUE
Queens;4213 BOWNE ST
Queens;7019 AUSTIN ST
Brooklyn;1562 RALPH AVENUE
Brooklyn;791 WASHINGTON AVENUE
Brooklyn;2365 86th STREET
Brooklyn;243 FIFTH AVENUE
Queens;3610 UNION ST
Queens;nan TERMINAL 4
Manhattan;913 2nd AVENUE
Brooklyn;7809 3rd AVENUE
Brooklyn;274 4th AVENUE
Manhattan;228 THOMPSON STREET
Manhattan;540 9th AVENUE
Bronx;607 EAST  169th STREET
Manhattan;1429 2nd AVENUE
Brooklyn;639 WILSON AVENUE
Manhattan;24 SAINT MARKS PLACE
Queens;nan JFK
Manhattan;81 AVENUE A
Brooklyn;147 FRONT STREET
Brooklyn;508 GRAND STREET
Bronx;961 EAST  174th STREET
Brooklyn;1429 MYRTLE AVENUE
Manhattan;1 ASTOR PLACE
Queens;119-30 METROPOLITAN AVENUE
Brooklyn;1 JOHN STREET
Manhattan;2255 2nd AVENUE
Brooklyn;345 ADAMS STREET
Brooklyn;86 NASSAU AVENUE
Brooklyn;1148 LIBERTY AVENUE
Manhattan;350 HUDSON STREET
Queens;107-18 70th ROAD
Bronx;600 MORRIS AVENUE
Queens;3211 JUCTION BLVD
Brooklyn;395 FLATBUSH AVENUE EXTENSION
Bronx;18 EAST  200th STREET
Manhattan;62 PRINCE STREET
Manhattan;45 MERCER STREET
Manhattan;150 EAST   14th STREET
Brooklyn;4518 5th AVENUE
Brooklyn;85 DUMONT AVENUE
Manhattan;318 WEST   23rd STREET
Manhattan;241 PEARL STREET
Brooklyn;1013 FULTON STREET
Brooklyn;747 FLUSHING AVENUE
Queens;24722D S CONDUIT AVE
Brooklyn;214 PROSPECT PARK WEST
Manhattan;2479 BROADWAY
Manhattan;31 WEST   26th STREET
Bronx;4399 WHITE PLAINS ROAD
Queens;8229 164TH ST
Brooklyn;171 AVENUE U
Queens;5701 JUNCTION BLVD
Brooklyn;6823 4th AVENUE
Queens;2802 21ST ST
Manhattan;15 WEST   32nd STREET
Manhattan;32 WEST   37th STREET
Manhattan;162 EAST   37th STREET
Manhattan;218 EAST   52nd STREET
Manhattan;1407 MADISON AVENUE
Bronx;1800 WHITE PLAINS ROAD
Brooklyn;734 FLATBUSH AVENUE
Manhattan;1565 SECOND AVENUE
Manhattan;48 WEST   27th STREET
Bronx;1115 ASTOR AVENUE
Queens;8263 BROADWAY
Brooklyn;139 NORTH    6th STREET
Queens;11307 SUTPHIN BOULEVARD
Brooklyn;1033 NOSTRAND AVENUE
Manhattan;21 EAST    1st STREET
Queens;8202 45TH AVE
Manhattan;225 FRONT STREET
Manhattan;117 EAST   14th STREET
Manhattan;519 8th AVENUE
Brooklyn;229 MALCOLM X BOULEVARD
Manhattan;22 WEST   32nd STREET
Manhattan;1045 LEXINGTON AVENUE
Brooklyn;2011 CHURCH AVENUE
Bronx;3455 THIRD AVENUE
Brooklyn;44 WILLOUGHBY STREET
Manhattan;80 COLUMBUS CIRCLE at 60th street
Manhattan;824 3rd AVENUE
Bronx;548 EAST  138th STREET
Manhattan;60 PINE STREET
Queens;3801 ASTORIA BLVD
Queens;78-14 ROOSEVELT AVENUE
Manhattan;73 WARREN STREET
Staten Island;382 FOREST AVENUE
Bronx;2254 EAST TREMONT AVENUE
Manhattan;1613 2nd AVENUE
Manhattan;395 2nd AVENUE
Bronx;1039 CASTLE HILL AVENUE
Manhattan;145 WEST   55th STREET
Brooklyn;295 5th AVENUE
Queens;2309 ASTORIA BLVD
Brooklyn;41A NEWKIRK PLAZA
Manhattan;1792 BROADWAY
Queens;50-12 VERNON BOULEVARD
Manhattan;85 WASHINGTON PLACE
Brooklyn;5174 KINGS PLAZA
Manhattan;48 WEST   73rd STREET
Bronx;397 BEDFORD PARK BOULEVARD
Manhattan;325 LAFAYETTE STREET
Queens;4508 PARSONS BLVD
Manhattan;1378 LEXINGTON AVENUE
Manhattan;21 EAST   52nd STREET
Brooklyn;1654 SHEEPSHEAD BAY ROAD
Brooklyn;5115 13rd AVENUE
Brooklyn;691 BROADWAY
Manhattan;888 8th AVENUE
Queens;3766 103RD ST
Bronx;112 LINCOLN AVENUE
Manhattan;464 3rd AVENUE
Brooklyn;752 CONEY ISLAND AVENUE
Brooklyn;736 FRANKLIN AVENUE
Queens;22318 LINDEN BLVD
Brooklyn;5224 8th AVENUE
Brooklyn;188 HAVEMEYER STREET
Queens;3618 30TH AVE
Brooklyn;1533 70th STREET
Manhattan;166 2nd AVENUE
Brooklyn;247 STARR STREET
Manhattan;3470 BROADWAY
Manhattan;126 EAST    7th STREET
Bronx;3218 3rd AVENUE
Brooklyn;2343 UTICA AVENUE
Queens;25018 HILLSIDE AVENUE
Queens;13621 ROOSEVELT AVE
Manhattan;145 EAST   27th STREET
Brooklyn;37 HILLEL PLACE
Manhattan;3 LISPENARD STREET
Manhattan;318 EAST   84th STREET
Bronx;3700 JEROME AVENUE
Manhattan;30 KENMARE STREET
Queens;135-20 39th AVENUE
Manhattan;14A ELIZABETH STREET
Staten Island;1310 FOREST AVENUE
Queens;19603 GRAND CENTRAL PARKWAY
Bronx;234 EAST  174th STREET
Brooklyn;7526 5th AVENUE
Queens;11817 QUEENS BLVD
Manhattan;320 8th AVENUE
Brooklyn;543 NOSTRAND AVENUE
Queens;54-22 ROOSEVELT AVENUE
Manhattan;270 WEST   36th STREET
Manhattan;226 WEST   50th STREET
Queens;90-06 JAMAICA AVENUE
Brooklyn;1558 CONEY ISLAND AVENUE
Manhattan;125 BROAD STREET
Brooklyn;111A DITMAS AVENUE
Queens;28-55 36th STREET
Brooklyn;6301 8TH AVE
Manhattan;18 EAST   23rd STREET
Manhattan;686 8th AVENUE
Manhattan;179 MADISON AVENUE
Queens;45-58 VERNON BOULEVARD
Manhattan;35 WEST   45th STREET
Manhattan;111 AVENUE A
Queens;13822 FARMERS BLVD
Brooklyn;161 7th AVENUE
Queens;2921 41ST AVE
Bronx;2331 HUGHES AVENUE
Queens;177-15/21 UNION TPKE
Bronx;3250 BOSTON POST ROAD
Staten Island;2655 RICHMOND AVENUE
Brooklyn;107 3rd AVENUE
Queens;30-66 STEINWAY STREET
Manhattan;960 LEXINGTON AVENUE
Queens;5850 FRANCIS LEWIS BOULEVARD
Brooklyn;1706 SHEEPSHEAD BAY ROAD
Queens;11663 SUTPHIN BLVD
Manhattan;353 WEST   14th STREET
Queens;32-35 48th AVENUE
Manhattan;210 WEST   50th STREET
Manhattan;231 1st AVENUE
Manhattan;831 6th AVENUE
Manhattan;275 GREENWICH STREET
Queens;136-55 ROOSEVELT AVENUE
Queens;37-05 31st AVENUE
Brooklyn;833 UNION STREET
Queens;4605 KISSENA BOULEVARD
Queens;69-12 ROOSEVELT AVENUE
Brooklyn;1869 BATH AVENUE
Manhattan;150 EAST   42nd STREET
Manhattan;61 GROVE STREET
Brooklyn;24 IRVING AVENUE
Queens;15405 NORTHERN BLVD
Brooklyn;293 BROADWAY
Brooklyn;773 52nd STREET
Manhattan;20 BEAVER STREET
Bronx;2151 JEROME AVENUE
Brooklyn;620 4th AVENUE
Manhattan;1635 AMSTERDAM AVENUE
Manhattan;987 1st AVENUE
Manhattan;1758 BROADWAY
Queens;96-27 LINDEN BOULEVARD
Brooklyn;582 NOSTRAND AVENUE
Manhattan;803 9th AVENUE
Brooklyn;67 IRVING AVENUE
Brooklyn;8727 4th AVENUE
Queens;3272 STEINWAY ST
Bronx;135 GUNHILL ROAD
Manhattan;130 DYCKMAN STREET
Manhattan;1744 2nd AVENUE
Manhattan;961 LEXINGTON AVENUE
Manhattan;209 EAST   56th STREET
Manhattan;340 WEST   40th STREET
Brooklyn;210 PROSPECT PARK WEST
Brooklyn;1102 LIBERTY AVENUE
Manhattan;325 PARK AVENUE SOUTH
Brooklyn;1053 FLATBUSH AVENUE
Queens;7811 ROOSEVELT AVENUE
Manhattan;421 2nd AVENUE
Queens;0 LAGUARDIA AIRPORT
Manhattan;163 EAST  116th STREET
Bronx;815 HUTCHINSON RIVER PARKWAY
Manhattan;319 CHURCH STREET
Staten Island;7339 AMBOY ROAD
Manhattan;810 WEST  181st STREET
Bronx;611 CRESCENT AVENUE
Manhattan;503 WEST   57th STREET
Manhattan;104 2nd AVENUE
Bronx;1524 WATSON AVENUE
Manhattan;14 SPRING STREET
Brooklyn;1 SOUTH ELLIOTT PLACE
Brooklyn;4401 8th AVENUE
Brooklyn;287 AVENUE U
Staten Island;2655 RICHMOND AVENUE
Manhattan;131 EAST   54th STREET
Bronx;2875 WEBSTER AVENUE
Queens;6006 39TH AVE
Brooklyn;6909 8th AVENUE
Manhattan;85 ORCHARD STREET
Manhattan;200 EAST   89th STREET
Queens;10117 43RD AVE
Manhattan;275 WEST   22nd STREET
Queens;21873 HEMPSTEAD AVE
Brooklyn;1207 MCDONALD AVENUE
Brooklyn;848 FULTON STREET
Queens;14714 45TH AVE
Queens;6419 MYRTLE AVE
Manhattan;61 COLUMBUS AVENUE
Brooklyn;798 4th AVENUE
Brooklyn;289 LIVINGSTON STREET
Manhattan;5 KING STREET
Queens;111-22 ROOSEVELT AVENUE
Brooklyn;289 MANHATTAN AVENUE
Bronx;3304 WHITE PLAINS ROAD
Manhattan;163 1st AVENUE
Queens;136-20 38th AVENUE
Queens;80-18 NORTHERN BOULEVARD
Queens;33-15 30th AVENUE
Queens;91-06 43rd AVENUE
Manhattan;300 AMSTERDAM AVENUE
Queens;70-09 AUSTIN STREET
Staten Island;2879 AMBOY ROAD
Manhattan;156 EAST   64th STREET
Manhattan;15 WEST   21st STREET
Bronx;1416 OGDEN AVENUE
Staten Island;446 NOME AVENUE
Brooklyn;243 FIFTH AVENUE
Manhattan;34 WEST   32nd STREET
Manhattan;311 2nd AVENUE
Manhattan;11 BROADWAY
Manhattan;420 EAST   59th STREET
Queens;7006 ROOSEVELT AVE
Manhattan;579 AVENUE OF THE AMERICAS
Manhattan;4199 BROADWAY
Brooklyn;111 FRONT STREET
Manhattan;1422 ST NICHOLAS AVENUE
Manhattan;142 MERCER STREET
Queens;74-04 37th AVENUE
Manhattan;662 9th AVENUE
Brooklyn;338 UNION STREET
Manhattan;77 FULTON STREET
Manhattan;197 EAST   76th STREET
Manhattan;528 COLUMBUS AVENUE
Manhattan;50 WEST   56th STREET
Bronx;812 EAST  149th STREET
Brooklyn;2192 PITKIN AVENUE
Manhattan;75 9th AVENUE
Brooklyn;6712 FORT HAMILTON PARKWAY
Brooklyn;6514 18th AVENUE
Manhattan;75 LEXINGTON AVENUE
Manhattan;284 MULBERRY STREET
Manhattan;10 MORTON STREET
Brooklyn;8922 FLATLANDS AVENUE
Manhattan;101 GREENWICH STREET
Manhattan;140 WEST   23rd STREET
Brooklyn;1585 BROADWAY
Manhattan;77 DELANCEY STREET
Bronx;550 SOUTHERN BOULEVARD
Bronx;40 EAST  167th STREET
Brooklyn;131 BERRY STREET
Brooklyn;189 WILSON AVENUE
Manhattan;35 WEST   35th STREET
Manhattan;121 MOTT STREET
Bronx;500 TIFFANY STREET
Manhattan;1551 2nd AVENUE
Queens;4534 BELL BLVD
Brooklyn;576 ROGERS AVENUE
Brooklyn;78 5th AVENUE
Queens;3146 GREENPOINT AVE
Queens;8148 BAXTER AVE
Brooklyn;582 BUSHWICK AVENUE
Queens;13740 NORTHERN BLVD
Brooklyn;8510 20th AVENUE
Manhattan;686 8th AVENUE
Manhattan;147 MOTT STREET
Manhattan;752 10th AVENUE
Bronx;3114 3rd AVENUE
Bronx;735 ALLERTON AVENUE
Queens;111-36 FARMERS BOULEVARD
Manhattan;404 8th AVENUE
Brooklyn;497 5th AVENUE
Brooklyn;72 RALPH AVENUE
Manhattan;2923 8th AVENUE
Manhattan;1420 BROADWAY
Queens;110-17 ATLANTIC AVENUE
Queens;22003 HILLSIDE AVENUE
Queens;254-55 HORACE HARDING EXPRESSWAY
Brooklyn;97 NASSAU AVENUE
Brooklyn;722 KINGS HIGHWAY
Manhattan;307 WEST   17th STREET
Brooklyn;306 GOLD STREET
Brooklyn;348 WYTHE AVENUE
Brooklyn;788 NOSTRAND AVENUE
Manhattan;3409 BROADWAY
Manhattan;9 GREAT JONES STREET
Queens;213-10 41st AVENUE
Manhattan;522 WEST   38th STREET
Queens;9215 JAMAICA AVE
Staten Island;2945 VETERANS ROAD WEST
Brooklyn;690 5th AVENUE
Brooklyn;276 KNICKERBOCKER AVENUE
Queens;6417 FRESH POND RD
Brooklyn;627 THROOP AVENUE
Queens;1223 ASTORIA BLVD
Manhattan;80 BEEKMAN STREET
Queens;234-20 MERRICK BOULEVARD
Queens;126-14 MERRICK BOULEVARD
Queens;3711 MAIN ST
Manhattan;377 1st AVENUE
Manhattan;500 WEST   48th STREET
Manhattan;101 EAST   19th STREET
Manhattan;462 7th AVENUE
Manhattan;3163 BROADWAY
Bronx;1561 WESTCHESTER AVENUE
Manhattan;142 BLEECKER STREET
Brooklyn;43 FRANKLIN STREET
Brooklyn;1454 86th STREET
Manhattan;599 LEXINGTON AVENUE
Staten Island;4446 MAIN STREET
Manhattan;3845 BROADWAY
Queens;7015A AUSTIN ST
Brooklyn;1703 MCDONALD AVENUE
Queens;10928 MERRICK BLVD
Queens;7915 ROOSEVELT AVENUE
Manhattan;188 ALLEN STREET
Queens;42-07 MAIN STREET
Brooklyn;417 FULTON STREET
Bronx;1459 UNIONPORT ROAD
Staten Island;192 BAY STREET
Staten Island;86 PAGE AVENUE
Bronx;1 EAST  161st STREET
Queens;37-56 108th STREET
Manhattan;64 WEST   10th STREET
Manhattan;185 WEST   32nd STREET
Brooklyn;109 NORTH    3rd STREET
Brooklyn;6224 18th AVENUE
Manhattan;600 5th AVENUE
Manhattan;86 EAST    3rd STREET
Staten Island;372 VAN DUZER STREET
Manhattan;474 COLUMBUS AVENUE
Brooklyn;268 PROSPECT PARK WEST
Manhattan;1259 PARK AVENUE
Manhattan;425 MADISON AVENUE
Manhattan;6870 BLEECKER STREET
Brooklyn;2102 AVENUE X
Queens;36-06 30th AVENUE
Queens;11302 SPRINGFIELD BLVD
Bronx;25 CITY ISLAND AVENUE
Bronx;308 WILLIS AVENUE
Manhattan;1164 1st AVENUE
Queens;715 BEACH   20th STREET
Manhattan;203 1st AVENUE
Brooklyn;4017 5th AVENUE
Staten Island;99 PORT RICHMOND AVENUE
Queens;17116 HILLSIDE AVE
Queens;4558 46th STREET
Queens;10-93 JACKSON AVENUE
Queens;3606 DITMARS BLVD
Queens;116-32 QUEENS BOULEVARD
Manhattan;225 LIBERTY STREET
Brooklyn;4324 4th AVENUE
Brooklyn;1215 LIBERTY AVENUE
Manhattan;81 WEST BROADWAY
Staten Island;2655 RICHMOND AVENUE
Manhattan;281 WEST   12nd STREET
Brooklyn;1165 UTICA AVENUE
Queens;14909 41ST AVE
Brooklyn;2830 CONEY ISLAND AVENUE
Manhattan;148 CENTRE STREET
Bronx;4703 WHITE PLAINS ROAD
Manhattan;1701 AMSTERDAM AVENUE
Manhattan;122 HAMILTON PLACE
Queens;14406 243RD ST
Staten Island;2025 RICHMOND AVENUE
Queens;50-12 VERNON BOULEVARD
Manhattan;2839 FREDERICK DOUGLAS BOULEVARD
Staten Island;1098 FOREST AVENUE
Manhattan;207 WEST   38th STREET
Queens;9128 CORONA AVE
Brooklyn;45 LEE AVENUE
Manhattan;2658 BROADWAY
Queens;NKA JFK INTL AIRPORT 58H
Manhattan;133 EAST   45th STREET
Queens;8241 153RD AVE
Manhattan;2060 ACP JR BLVD
Manhattan;17 MOTT STREET
Manhattan;10 MURRAY STREET
Manhattan;100 STANTON STREET
Manhattan;3143 BROADWAY
Queens;8903 57th AVENUE
Manhattan;175 VARICK STREET
Brooklyn;101 MONTAGUE STREET
Queens;73-20 NORTHERN BOULEVARD
Manhattan;53 EAST  124th STREET
Brooklyn;3472 FULTON STREET
Bronx;2328 ARTHUR AVENUE
Brooklyn;302 KNICKERBOCKER AVENUE
Bronx;28 EAST  167th STREET
Bronx;2857 3rd AVENUE
Manhattan;66 MOTT STREET
Brooklyn;1681 EAST   16th STREET
Brooklyn;683 CONEY ISLAND AVENUE
Manhattan;520 COLUMBUS AVENUE
Queens;NKA LAGUARDIA AIRPORT
Manhattan;158 9th AVENUE
Manhattan;466 HUDSON STREET
Manhattan;72 GRAND CENTRAL TERMINAL
Brooklyn;4410 FT HAMILTON PARKWAY
Manhattan;825 WEST  181st STREET
Queens;69-12 ROOSEVELT AVENUE
Manhattan;37 WEST   44th STREET
Manhattan;1 HANOVER SQUARE
Queens;1693A PUTNAM AVENUE
Queens;3017 STRATTON STREET
Manhattan;nan 48 west 48th street
Queens;8334 BROADWAY
Brooklyn;4316 4th AVENUE
Manhattan;4221 BROADWAY
Manhattan;243 9th AVENUE
Brooklyn;514 86th STREET
Brooklyn;352 BEDFORD AVENUE
Manhattan;153 FIRST AVENUE
Queens;9607 37TH AVE
Brooklyn;179 MESEROLE AVENUE
Manhattan;228 WEST   72nd STREET
Brooklyn;5322 7th AVENUE
Manhattan;1657 BROADWAY
Queens;17237 HILLSIDE AVE
Bronx;650 GRAND CONCOURSE
Manhattan;41 ST MARKS PLACE
Manhattan;455 MADISON AVENUE
Queens;13240 METROPOLITAN AVE
Queens;90-13 ASTORIA BOULEVARD
Manhattan;1402 2nd AVENUE
Brooklyn;6609 FORT HAMILTON PARKWAY
Queens;5910 MYRTLE AVE
Bronx;600 EAST  187th STREET
Manhattan;2419 2nd AVENUE
Brooklyn;17 INGRAHAM STREET
Manhattan;104 2nd AVENUE
Brooklyn;617A VANDERBILT AVENUE
Queens;268 BEACH  116th STREET
Manhattan;945 COLUMBUS AVENUE
Queens;46-15 CENTER BOULEVARD
Manhattan;340 AMSTERDAM AVENUE
Brooklyn;15 MAIN STREET
Brooklyn;3005 CHURCH AVENUE
Brooklyn;1065 RUTLAND ROAD
Manhattan;155 EAST   55th STREET
Queens;25205 UNION TURNPIKE
Brooklyn;4501 GLENWOOD ROAD
Queens;4530 BELL BLVD
Brooklyn;1750 BATH AVENUE
Queens;4009 69TH ST
Queens;41-26 CRESCENT STREET
Queens;136-72 ROOSEVELT AVENUE
Brooklyn;678 FRANKLIN AVENUE
Manhattan;37 WEST   20th STREET
Brooklyn;7721 5th AVENUE
Staten Island;133 MCCLEAN AVENUE
Bronx;1011 MACE AVENUE
Manhattan;1159 3rd AVENUE
Bronx;3483 BOSTON ROAD
Bronx;2501 3rd AVENUE
Manhattan;20 JOHN STREET
Queens;17659 UNION TPKE
Manhattan;209 EAST  116th STREET
Manhattan;885 8th AVENUE
Bronx;2104 CROTONA PARKWAY
Brooklyn;250 WYCKOFF AVENUE
Brooklyn;274 BROADWAY
Staten Island;2883 RICHMOND AVENUE
Brooklyn;332 CENTRAL AVENUE
Brooklyn;5622 8th AVENUE
Bronx;2269 JEROME AVENUE
Manhattan;33 AVENUE B
Brooklyn;4902 FORT HAMILTON PARKWAY
Queens;10837 CORONA AVE
Bronx;4129 LACONIA AVENUE
Manhattan;258 WEST   44th STREET
Manhattan;140 EAST   57th STREET
Staten Island;1769 ARTHUR KILL ROAD
Queens;4101 BROADWAY
Manhattan;1774 LEXINGTON AVENUE
Manhattan;68 EAST BROADWAY
Manhattan;167 EAST  106th STREET
Bronx;343 EAST  194th STREET
Manhattan;45 EAST   45th STREET
Queens;13671 ROOSEVELT AVE
Manhattan;100 SAINT MARKS PLACE
Bronx;758 LYDIG AVENUE
Staten Island;655 ROSSVILLE AVENUE
Queens;146-12 LIBERTY AVENUE
Manhattan;424 AMSTERDAM AVENUE
Brooklyn;7112 13rd AVENUE
Manhattan;3470 BROADWAY
Brooklyn;2851 86th STREET
Manhattan;221 7th AVENUE
Bronx;1089 SOUTHERN BOULEVARD
Brooklyn;785 FLUSHING AVENUE
Queens;158-14 NORTHERN BOULEVARD
Manhattan;90 GREENWICH AVENUE
Queens;4406 60th STREET
Queens;49-09 NORTHERN BOULEVARD
Queens;45-57 BOWNE STREET
Queens;153-31 CROSS ISLAND PARKWAY
Manhattan;807 8th AVENUE
Brooklyn;2928 AVENUE R
Staten Island;616 FOREST AVENUE
Manhattan;556 COLUMBUS AVENUE
Brooklyn;181 34th STREET
Manhattan;519 3rd AVENUE
Brooklyn;223 5th AVENUE
Manhattan;2261 2nd AVENUE
Queens;7438 JAMAICA AVE
Brooklyn;124 BEDFORD AVENUE
Queens;11220 QUEENS BOULEVARD
Bronx;1267 JEROME AVENUE
Manhattan;291 BROADWAY
Queens;8000 COOPER AVE
Bronx;1766 WESTCHESTER AVENUE
Staten Island;585 FOREST AVENUE
Brooklyn;106 MOORE STREET
Brooklyn;6516 11st AVENUE
Bronx;249 WEST  231st STREET
Brooklyn;802-804 KINGS HIGHWAY
Queens;3701 61ST ST
Manhattan;2104 FREDERICK DOUGLASS BOULEVARD
Bronx;750 EAST  169th STREET
Brooklyn;1242 NOSTRAND AVENUE
Brooklyn;3449 FULTON STREET
Brooklyn;917 UTICA AVENUE
Manhattan;3470 BROADWAY
Brooklyn;2026 NOSTRAND AVENUE
Brooklyn;637A VANDERBILT AVENUE
Bronx;971B WESTCHESTER AVENUE
Manhattan;145 EAST   47th STREET
Brooklyn;4618 8th AVENUE
