BORO;STREET
Manhattan;1 WEST   58th STREET
Brooklyn;134 KINGSLAND AVENUE
Brooklyn;1148 LIBERTY AVENUE
Bronx;1041 PROSPECT AVENUE
Manhattan;38 MACDOUGAL STREET
Manhattan;430 LAFAYETTE STREET
Manhattan;12 JOHN STREET
Manhattan;39 WEST   46th STREET
Staten Island;139 NEW DORP LANE
Queens;98-05 ATLANTIC AVENUE
Manhattan;49 BROADWAY
Queens;21102 JAMAICA AVE
Queens;17104 NORTHERN BLVD
Staten Island;752 FOREST AVENUE
Queens;15411 POWELLS COVE BOULEVARD
Queens;27-20 23rd AVENUE
Manhattan;47 BROADWAY
Manhattan;106 WEST HOUSTON STREET
Manhattan;119 MACDOUGAL STREET
Brooklyn;212 FLATBUSH AVENUE
Brooklyn;1120 BROADWAY
Bronx;4279 KATONAH AVENUE
Manhattan;51 DIVISION STREET
Queens;84-40 JAMAICA AVENUE
Manhattan;1889 BROADWAY
Manhattan;120 CEDAR STREET
Manhattan;5 UNIVERSITY PLACE
Brooklyn;163 NASSAU AVENUE
Manhattan;143 WEST   69th STREET
Bronx;124 WEST  238th STREET
Manhattan;913 2nd AVENUE
Manhattan;1 EAST   35th STREET
Brooklyn;370 LEWIS AVENUE
Bronx;4112 EAST TREMONT AVENUE
Manhattan;313 AMSTERDAM AVENUE
Queens;138-44 86th AVENUE
Manhattan;60 GREENWICH AVENUE
Bronx;613 CRESCENT AVENUE
Queens;7303 YELLOWSTONE BLVD
Manhattan;91 BAYARD STREET
Queens;95-08 JAMAICA AVENUE
Manhattan;494 AMSTERDAM AVENUE
Queens;213-41 39th AVENUE
Queens;227-02/08 LINDEN BLVD
Manhattan;1569 2nd AVENUE
Queens;5910 MYRTLE AVE
Brooklyn;8518 3rd AVENUE
Queens;8229 164TH ST
Manhattan;337 WEST   14th STREET
Queens;11317 JAMAICA AVE
Manhattan;59 READE STREET
Brooklyn;1077 FLUSHING AVENUE
Manhattan;241A WEST   42nd STREET
Brooklyn;1716 SHEEPSHEAD BAY ROAD
Manhattan;80 GROVE STREET
Manhattan;393 LENOX AVENUE
Queens;28-12 DITMARS BOULEVARD
Manhattan;175 3rd AVENUE
Brooklyn;197 KNICKERBOCKER AVENUE
Manhattan;155 EAST   55th STREET
Queens;9419 63RD DR
Manhattan;470 WEST   23rd STREET
Manhattan;218220 GRAND STREET
Manhattan;496 LAGUARDIA PLACE
Queens;4026 NATIONAL ST
Brooklyn;3145 BRIGHTON    4th STREET
Manhattan;165 EAST   33rd STREET
Bronx;190 EAST  167th STREET
Bronx;1600 BOSTON ROAD
Bronx;2115 WASHINGTON AVENUE
Manhattan;192 MERCER STREET
Manhattan;351 WEST   57th STREET
Manhattan;935 8th AVENUE
Manhattan;2353 8th AVENUE
Staten Island;1115 HYLAN BOULEVARD
Queens;109-05 UNION HALL STREET
Bronx;200 BAYCHESTER AVENUE
Brooklyn;44 WILSON AVENUE
Manhattan;121 EAST   17th STREET
Manhattan;259 FIRST AVENUE
Manhattan;528 9th AVENUE
Brooklyn;60 GREENPOINT AVENUE
Brooklyn;1139 FULTON STREET
Brooklyn;109 SOUTH PORTLAND AVENUE
Brooklyn;3435 FULTON STREET
Brooklyn;7110 3rd AVENUE
Manhattan;2253 3rd AVENUE
Manhattan;54 WEST   56th STREET
Manhattan;821 2nd AVENUE
Brooklyn;518 COURT STREET
Bronx;2023 WESTCHESTER AVENUE
Manhattan;370 WEST   51st STREET
Manhattan;245 EAST HOUSTON STREET
Queens;168-41 HILLSIDE AVENUE
Queens;1024 154TH ST
Brooklyn;793 WASHINGTON AVENUE
Manhattan;1178 BROADWAY
Brooklyn;2104 LINDEN BOULEVARD
Queens;4214 GREENPOINT AVE
Queens;10502 ROCKAWAY BLVD
Manhattan;116 WEST   32nd STREET
Manhattan;1 BENNETT AVENUE
Brooklyn;197 NEPTUNE AVENUE
Manhattan;364 WEST  110th STREET
Queens;2109 BROADWAY
Queens;118-14 JAMAICA AVENUE
Brooklyn;917 UTICA AVENUE
Brooklyn;274 BROADWAY
Brooklyn;2847 CHURCH AVENUE
Manhattan;63 GANSEVOORT STREET
Brooklyn;1695 BROADWAY
Queens;3705 BROADWAY
Bronx;805 SOUNDVIEW AVENUE
Brooklyn;1758 BATH AVENUE
Queens;92-10 59th AVENUE
Brooklyn;527 METROPOLITAN AVENUE
Manhattan;28 JANE STREET
Brooklyn;812 GRAND STREET
Manhattan;17 DIVISION STREET
Manhattan;267 MADISON AVENUE
Queens;116-37 QUEENS BOULEVARD
Bronx;2407 WESTCHESTER AVENUE
Staten Island;1351 FOREST AVENUE
Bronx;2649 WEBSTER AVENUE
Brooklyn;7416 20th AVENUE
Queens;8826 37TH AVE
Manhattan;212 EAST    9th STREET
Manhattan;1744 2nd AVENUE
Manhattan;442 AMSTERDAM AVENUE
Staten Island;154 MANSION AVENUE
Manhattan;2 WEST   45th STREET
Manhattan;51 EAST HOUSTON STREET
Brooklyn;177 ATLANTIC AVENUE
Queens;32-10 36th AVENUE
Queens;8202 ROOSEVELT AVE
Brooklyn;263 HENDRIX STREET
Queens;13335 79TH ST
Manhattan;133 WEST    3rd STREET
Manhattan;143 8TH AVE
Queens;39-49 43rd AVENUE
Manhattan;1593 SAINT NICHOLAS AVENUE
Manhattan;267 WEST   23rd STREET
Brooklyn;395 FLATBUSH AVENUE EXTENSION
Queens;3402 LINDEN PLACE
Brooklyn;444 9th STREET
Brooklyn;2144 86th STREET
Brooklyn;9023 3rd AVENUE
